নং	দেশ	মহাদেশ	জাতিসংঘের অনুমান	তারিখ
১১৫ 	 ডেনমার্ক 	ইউরোপ 	৫৭,৭১,৮৭৬ 	১ জুলাই ২০১৯
১১৬ 	 ফিনল্যান্ড[৭] 	ইউরোপ 	৫৫,৩২,১৫৬ 	১ জুলাই ২০১৯
১১৭ 	 স্লোভাকিয়া 	ইউরোপ 	৫৪,৫৭,০১৩ 	১ জুলাই ২০১৯
১১৮ 	 কঙ্গো প্রজাতন্ত্র 	আফ্রিকা 	৫৩,৮০,৫০৮ 	১ জুলাই ২০১৯
১১৯ 	 নরওয়ে[৮] 	ইউরোপ 	৫৩,৭৮,৮৫৭ 	১ জুলাই ২০১৯
১২০ 	 কোস্টা রিকা 	আমেরিকা 	৫০,৪৭,৫৬১ 	১ জুলাই ২০১৯
১২১ 	 ফিলিস্তিন[৯] 	এশিয়া 	৪৯,৮১,৪২০ 	১ জুলাই ২০১৯
১২২ 	 ওমান 	এশিয়া 	৪৯,৭৪,৯৮৬ 	১ জুলাই ২০১৯
১২৩ 	 লাইবেরিয়া 	আফ্রিকা 	৪৯,৩৭,৩৭৪ 	১ জুলাই ২০১৯
১২৪ 	 আয়ারল্যান্ড 	ইউরোপ 	৪৮,৮২,৪৯৫ 	১ জুলাই ২০১৯
১২৫ 	 নিউজিল্যান্ড 	ওশেনিয়া 	৪৭,৮৩,০৬৩ 	১ জুলাই ২০১৯
১২৬ 	 মধ্য আফ্রিকান প্রজাতন্ত্র 	আফ্রিকা 	৪৭,৪৫,১৮৫ 	১ জুলাই ২০১৯
১২৭ 	 মৌরিতানিয়া 	আফ্রিকা 	৪৫,২৫,৬৯৬ 	১ জুলাই ২০১৯
১২৮ 	 পানামা 	আমেরিকা 	৪২,৪৬,৪৩৯ 	১ জুলাই ২০১৯
১২৯ 	 কুয়েত 	এশিয়া 	৪২,০৭,০৮৩ 	১ জুলাই ২০১৯
১৩০ 	 ক্রোয়েশিয়া 	ইউরোপ 	৪১,৩০,৩০৪ 	১ জুলাই ২০১৯
১৩১ 	 মলদোভা[১০] 	ইউরোপ 	৪০,৪৩,২৬৩ 	১ জুলাই ২০১৯
১৩২ 	 জর্জিয়া[১১] 	এশিয়া 	৩৯,৯৬,৭৬৫ 	১ জুলাই ২০১৯
১৩৩ 	 ইরিত্রিয়া 	আফ্রিকা 	৩৪,৯৭,১১৭ 	১ জুলাই ২০১৯
১৩৪ 	 উরুগুয়ে 	আমেরিকা 	৩৪,৬১,৭৩৪ 	১ জুলাই ২০১৯
১৩৫ 	 বসনিয়া ও হার্জেগোভিনা 	ইউরোপ 	৩৩,০১,০০০ 	১ জুলাই ২০১৯
১৩৬ 	 মঙ্গোলিয়া 	এশিয়া 	৩২,২৫,১৬৭ 	১ জুলাই ২০১৯
১৩৭ 	 আর্মেনিয়া 	এশিয়া 	২৯,৫৭,৭৩১ 	১ জুলাই ২০১৯
১৩৮ 	 জামাইকা 	আমেরিকা 	২৯,৪৮,২৭৯ 	১ জুলাই ২০১৯
১৩৯ 	 পুয়ের্তো রিকো (মার্কিন যুক্তরাষ্ট্র) 	আমেরিকা 	২৯,৩৩,৪০৮ 	১ জুলাই ২০১৯
১৪০ 	 আলবেনিয়া 	ইউরোপ 	২৮,৬২,৪২৭ 	১ জুলাই ২০১৯
১৪১ 	 কাতার 	এশিয়া 	২৮,৩২,০৬৭ 	১ জুলাই ২০১৯
১৪২ 	 লিথুয়ানিয়া 	ইউরোপ 	২৭,৫৯,৬২৭ 	১ জুলাই ২০১৯
১৪৩ 	 নামিবিয়া 	আফ্রিকা 	২৪,৯৪,৫৩০ 	১ জুলাই ২০১৯
১৪৪ 	 গাম্বিয়া 	আফ্রিকা 	২৩,৪৭,৭০৬ 	১ জুলাই ২০১৯
১৪৫ 	 বতসোয়ানা 	আফ্রিকা 	২৩,০৩,৬৯৭ 	১ জুলাই ২০১৯
১৪৬ 	 গ্যাবন 	আফ্রিকা 	২১,৭২,৫৭৯ 	১ জুলাই ২০১৯
১৪৭ 	 লেসোথো 	আফ্রিকা 	২১,২৫,২৬৮ 	১ জুলাই ২০১৯
১৪৮ 	 ম্যাসেডোনিয়া 	ইউরোপ 	২০,৮৩,৪৫৯ 	১ জুলাই ২০১৯
১৪৯ 	 স্লোভেনিয়া 	ইউরোপ 	২০,৭৮,৬৫৪ 	১ জুলাই ২০১৯
১৫০ 	 গিনি-বিসাউ 	আফ্রিকা 	১৯,২০,৯২২ 	১ জুলাই ২০১৯
১৫১ 	 লাতভিয়া 	ইউরোপ 	১৯,০৬,৭৪৩ 	১ জুলাই ২০১৯
১৫২ 	 বাহরাইন 	এশিয়া 	১৬,৪১,১৭২ 	১ জুলাই ২০১৯
১৫৩ 	 ত্রিনিদাদ ও টোবাগো 	আমেরিকা 	১৩,৯৪,৯৭৩ 	১ জুলাই ২০১৯
১৫৪ 	 বিষুবীয় গিনি 	এশিয়া 	১৩,৫৫,৯৮৬ 	১ জুলাই ২০১৯
১৫৫ 	 ইস্তোনিয়া 	ইউরোপ 	১৩,২৫,৬৪৮ 	১ জুলাই ২০১৯
১৫৬ 	 পূর্ব তিমুর 	এশিয়া 	১২,৯৩,১১৯ 	১ জুলাই ২০১৯
১৫৭ 	 মরিশাস 	আফ্রিকা 	১১,৯৮,৫৭৫ 	১ জুলাই ২০১৯
১৫৮ 	 সাইপ্রাস[১২] 	ইউরোপ 	১১,৭৯,৫৫১ 	১ জুলাই ২০১৯
১৫৯ 	 ইসোয়াতিনি 	আফ্রিকা 	১১,৪৮,১৩০ 	১ জুলাই ২০১৯
১৬০ 	 জিবুতি 	আফ্রিকা 	৯,৭৩,৫৬০ 	১ জুলাই ২০১৯
১৬১ 	 ফিজি 	ওশেনিয়া 	৮,৮৯,৯৫৩ 	১ জুলাই ২০১৯
১৬২ 	 রেউনিওঁ (ফ্রান্স) 	আফ্রিকা 	৮,৮৮,৯২৭ 	১ জুলাই ২০১৯
১৬৩ 	 কোমোরোস 	আফ্রিকা 	৮,৫০,৮৮৬ 	১ জুলাই ২০১৯
১৬৪ 	 গায়ানা 	আমেরিকা 	৭,৮২,৭৬৬ 	১ জুলাই ২০১৯
১৬৫ 	 ভুটান 	এশিয়া 	৭,৬৩,০৯২ 	১ জুলাই ২০১৯
১৬৬ 	 সলোমন দ্বীপপুঞ্জ 	ওশেনিয়া 	৬,৬৯,৮২৩ 	১ জুলাই ২০১৯
১৬৭ 	 ম্যাকাও (চীন) 	এশিয়া 	৬,৪০,৪৪৫ 	১ জুলাই ২০১৯
